iteration,time_out,hand_wrist_away,object_away,ep_len,mean_reward,voc,obj_pos_err,obj_rot_err,rw_err,lw_err,rf_err,lf_err,R_force_closure,R_object_kp,R_hand_kp,R_hand_joint,R_termination
0,0.0009,0.0,0.0,22.21,0.53,1.0,0.0004,0.0001,0.0006,0.0006,0.0242,0.015,0.0,0.0,0.0018,0.0017,0.0
1,0.0329,0.0,0.0,41.62,1.0,1.0,0.0029,0.0004,0.0126,0.0291,0.1933,0.1419,0.0,0.0,0.0175,0.0169,0.0
2,0.0776,0.0,0.0,65.22,3.26,1.0,0.0041,0.0012,0.0154,0.0348,0.2106,0.1464,0.0354,0.0,0.0285,0.0276,-0.001
3,0.1254,0.0,0.0005,84.8,6.65,1.0,0.0131,0.0339,0.0153,0.0388,0.2186,0.2777,0.1509,0.0,0.0382,0.0363,0.0
4,0.1729,0.0,0.0007,109.79,11.72,1.0,0.0046,0.004,0.0154,0.0351,0.2164,0.1563,0.3067,0.0,0.0491,0.0478,-0.0007
5,0.2212,0.0,0.0008,127.06,15.66,1.0,0.0059,0.0047,0.0158,0.0355,0.2172,0.1521,0.4564,0.0,0.0589,0.0574,-0.002
6,0.2672,0.0,0.0014,137.51,18.5,1.0,0.0065,0.0055,0.0157,0.0351,0.2148,0.1633,0.5718,0.0,0.0657,0.064,-0.002
7,0.317,0.0,0.0014,161.58,21.79,1.0,0.0037,0.0006,0.0156,0.0347,0.2172,0.1453,0.7073,0.0,0.0766,0.0748,-0.0006
8,0.3678,0.0,0.0015,178.49,23.89,1.0,0.0064,0.0094,0.0155,0.0365,0.2167,0.1796,0.7781,0.0,0.0845,0.0824,0.0
9,0.4147,0.0,0.0016,201.57,27.28,1.0,0.0099,0.02,0.0156,0.0376,0.2157,0.2186,0.7936,0.0,0.0884,0.0859,-0.0006
10,0.4599,0.0,0.0021,206.69,28.32,1.0,0.0116,0.0208,0.0162,0.0379,0.2141,0.2321,0.9082,0.0,0.0981,0.0955,-0.0019
11,0.4939,0.0,0.0024,229.83,33.15,1.0,0.0093,0.0145,0.0168,0.0378,0.2182,0.2096,0.98,0.0,0.1025,0.0998,0.0
12,0.5402,0.0,0.0021,248.06,35.68,1.0,0.0071,0.0107,0.0157,0.036,0.2158,0.19,1.1267,0.0,0.1145,0.1119,0.0
13,0.5927,0.0,0.0018,262.76,39.54,1.0,0.0085,0.0153,0.0159,0.037,0.2184,0.2002,1.2684,0.0,0.123,0.1201,-0.0007
14,0.6446,0.0,0.0017,250.77,39.18,1.0,0.0092,0.0158,0.0153,0.0377,0.2164,0.2129,1.326,0.0,0.1239,0.121,0.0
15,0.687,0.0,0.0016,266.59,44.44,1.0,0.0066,0.0094,0.0157,0.0362,0.2159,0.1789,1.4729,0.0,0.1283,0.1251,-0.0008
16,0.7298,0.0,0.0018,306.69,53.82,1.0,0.0068,0.0106,0.016,0.0367,0.2167,0.1856,1.662,0.0,0.1399,0.1362,-0.0004
17,0.7756,0.0,0.002,303.43,51.33,1.0,0.0095,0.018,0.016,0.0374,0.2176,0.2048,1.7108,0.0,0.1423,0.1383,-0.0014
18,0.8238,0.0,0.0025,328.66,49.63,1.0,0.0067,0.0099,0.0156,0.0362,0.217,0.1822,1.6755,0.0,0.1524,0.1488,-0.0006
19,0.8701,0.0,0.0024,329.23,46.72,1.0,0.0065,0.0098,0.0154,0.0363,0.2172,0.1841,1.4673,0.0,0.1501,0.1468,-0.0004
20,0.9147,0.0,0.0024,327.54,44.4,1.0,0.005,0.0058,0.0155,0.0356,0.2165,0.1694,1.4518,0.0,0.1539,0.1507,0.0
21,0.961,0.0,0.0019,319.23,42.62,1.0,0.005,0.0056,0.0154,0.0357,0.2164,0.1643,1.4184,0.0,0.1583,0.155,-0.0003
22,0.9957,0.0,0.0017,233.0,31.83,1.0,0.006,0.009,0.0155,0.0362,0.2162,0.1816,1.2539,0.0,0.1347,0.1315,0.0
23,0.998,0.0,0.002,226.25,31.16,1.0,0.0078,0.0111,0.0156,0.0363,0.2152,0.1851,1.0234,0.0,0.1078,0.105,-0.0014
24,0.9976,0.0,0.0024,258.08,36.99,1.0,0.0053,0.0051,0.0154,0.0354,0.2158,0.1589,1.1024,0.0,0.1153,0.1127,-0.0009
